SN,Btw,Trial,cSrc,cCue,cPE,IMidx,IMname,CueName,Resp,RT,Corr,Conf,cRT,aResp,aRT,aCorr,aConf,aCRT
1,1,1,2,4,4,226, man312.jpg, cue_4.jpg,2,12.9341,1,2,1.7832,2,1.3755,1,4,2.6891
1,1,2,3,0,0,195, man267.jpg, ,3,2.3422,1,4,1.1078,7,0,7,7,0
1,1,3,2,1,1,206, man283.jpg, cue_1.jpg,2,11.8021,1,2,2.4906,3,2.0159,1,3,2.5416
1,1,4,3,0,0,144, man190.jpg, ,3,1.9904,1,4,1.1409,7,0,7,7,0
1,1,5,1,2,3,81, man113.jpg, cue_2.jpg,1,8.8575,1,3,2.0062,1,1.4385,1,4,1.8925
1,1,6,2,3,2,4, man007.jpg, cue_3.jpg,2,5.4662,1,3,1.0125,4,3.2634,1,4,1.215
1,1,7,1,3,2,125, man167.jpg, cue_3.jpg,2,3.5862,2,3,2.1704,4,2.9755,1,4,1.1225
1,1,8,2,2,3,193, man260.jpg, cue_2.jpg,1,3.8809,3,3,0.8219,1,1.3761,1,3,3.1447
1,1,9,3,0,0,14, man024.jpg, ,3,2.2336,1,4,2.683,7,0,7,7,0
1,1,10,3,0,0,1, man002.jpg, ,3,1.1846,1,4,1.0703,7,0,7,7,0
1,1,11,3,0,0,42, man063.jpg, ,3,1.6069,1,3,1.7469,7,0,7,7,0
1,1,12,2,3,2,236, man329.jpg, cue_3.jpg,2,4.8309,1,2,4.2726,4,3.0714,1,2,1.8073
1,1,13,1,4,4,20, man034.jpg, cue_4.jpg,1,3.5928,1,2,3.7935,2,1.7281,1,3,1.6098
1,1,14,3,0,0,40, man061.jpg, ,3,2.7292,1,4,1.3048,7,0,7,7,0
1,1,15,3,0,0,119, man161.jpg, ,3,2.4075,1,3,1.6804,7,0,7,7,0
1,1,16,1,3,2,131, man174.jpg, cue_3.jpg,2,1.9204,2,4,1.0395,4,1.2151,1,4,0.9102
1,1,17,3,0,0,163, man217.jpg, ,3,1.1188,1,4,1.6157,7,0,7,7,0
1,1,18,3,0,0,214, man298.jpg, ,3,1.0248,1,3,2.0343,7,0,7,7,0
1,1,19,2,2,3,70, man101.jpg, cue_2.jpg,1,3.6213,3,4,1.2607,1,1.088,1,4,3.8495
1,1,20,2,3,2,146, man193.jpg, cue_3.jpg,3,12.5577,0,1,1.5188,7,0,7,7,0
1,1,21,1,3,2,37, man058.jpg, cue_3.jpg,2,6.8822,2,3,1.5524,4,0.9597,1,4,1.417
1,1,22,1,4,4,83, man115.jpg, cue_4.jpg,1,4.2906,1,2,3.2461,2,3.1035,1,4,0.867
1,1,23,3,0,0,97, man133.jpg, ,3,1.2195,1,4,1.7759,7,0,7,7,0
1,1,24,3,0,0,129, man171.jpg, ,3,1.4829,1,4,0.6672,7,0,7,7,0
1,1,25,1,3,2,169, man230.jpg, cue_3.jpg,1,3.1422,1,4,0.786,4,0.8637,1,4,1.0353
1,1,26,1,2,3,93, man128.jpg, cue_2.jpg,1,3.7177,1,3,4.6656,1,1.9197,1,4,0.9326
1,1,27,3,0,0,105, man144.jpg, ,3,1.6665,1,4,0.987,7,0,7,7,0
1,1,28,2,1,1,182, man247.jpg, cue_1.jpg,2,3.1766,1,3,1.2015,3,1.536,1,4,1.3748
1,1,29,1,4,4,127, man169.jpg, cue_4.jpg,2,4.9066,2,4,1.5314,2,1.6315,1,3,1.4793
1,1,30,2,3,2,108, man149.jpg, cue_3.jpg,2,3.3264,1,3,11.4741,4,1.8879,1,2,1.217
1,1,31,1,3,2,218, man303.jpg, cue_3.jpg,2,7.971,2,3,1.5228,4,1.2157,1,4,1.9204
1,1,32,2,1,1,79, man111.jpg, cue_1.jpg,2,4.9649,1,2,0.7244,3,1.5042,1,4,1.5103
1,1,33,3,0,0,54, man078.jpg, ,3,1.1326,1,4,0.6029,7,0,7,7,0
1,1,34,3,0,0,166, man223.jpg, ,3,2.5049,1,4,0.5274,7,0,7,7,0
1,1,35,2,4,4,212, man296.jpg, cue_4.jpg,2,3.4223,1,4,0.5581,2,0.6401,1,4,1.0028
1,1,36,2,2,3,157, man208.jpg, cue_2.jpg,1,6.0223,3,3,1.4655,1,1.1199,1,4,1.0685
1,1,37,2,2,3,10, man017.jpg, cue_2.jpg,2,1.861,1,3,1.2706,1,4.5758,1,2,1.0883
1,1,38,1,2,3,126, man168.jpg, cue_2.jpg,2,6.4371,2,4,1.0499,1,0.672,1,2,0.6718
1,1,39,3,0,0,111, man153.jpg, ,3,1.7699,1,4,0.7191,7,0,7,7,0
1,1,40,3,0,0,238, man332.jpg, ,3,2.1178,1,2,0.7954,7,0,7,7,0
1,1,41,3,0,0,112, man154.jpg, ,3,1.057,1,3,0.532,7,0,7,7,0
1,1,42,3,0,0,215, man299.jpg, ,3,0.9629,1,4,1.0505,7,0,7,7,0
1,1,43,3,0,0,51, man075.jpg, ,3,1.1875,1,4,0.5935,7,0,7,7,0
1,1,44,1,2,3,74, man106.jpg, cue_2.jpg,1,2.8939,1,3,2.2578,1,0.9916,1,4,1.4513
